Genotype Code;MUNQ;Original Code;Preferred Name;Origin
1;1;1945-079;Brabant Bellefleur;WCE
101;101;1947-004;Rosa Mantovana;SE
1015;1015;1951-050;Schmidtberger Renette;WCE
1020;1020;1948-614;Chüsenrainer;WCE
1091;1091;1947-200;Ribonde;WCE
1113;1113;X4194;Red Winter;USA
112;112;1948-744;Democrat;ANZ
1123;1123;1953-014;Horei;JPN
1125;1125;1978-136;Lady Williams;ANZ
114;114;1947-318;Koestlicher;WCE
118;118;1948-236;Reinette Clochard;WCE
1218;1218;1953-002;Shinsei;JPN
1236;1236;X2039;O53T136;USA
130;130;1944-048;Groninger Kroon;WCE
131;131;1947-143;Reinette du Mans;WCE
133;133;1948-599;Spaanse Keiing;WCE
135;135;1947-138;Reinette de Saintonge;WCE
1377;1377;1948-400;Simonffy Piros;WCE
140;140;1946-034;Lange's Perfection;WCE
141;141;2000-070;Mrs. Phillimore;WCE
143;143;1954-026;Polly;WCE
1446;1446;1958-105;Hoti;SEE
1448;1448;1975-004;Osenee Polosatoe;NEE
1478;1478;Priscilla_NL;Priscilla-NL;WCE
1481;1481;1967-089;Indo;JPN
149;149;1977-204;Woodford;WCE
15;15;1957-175;Annie Elizabeth;WCE
152;152;1953-050;Histon Favourite;WCE
163;163;1907-002;Cox's Orange Pippin;WCE
167;167;1974-060;Melba;CAN
17;17;1923-058;Ontario;CAN
170;170;1973-114;Jincoa Zagarra;WCE
173;173;1951-170;Edelroter;SE
1870;1870;1905-004;Ard Cairn Russet;WCE
1872;1872;1916-006;Beeley Pippin;WCE
1887;1887;1923-078;Fillingham Pippin;WCE
1889;1889;1924-005;Scilly Pearl;WCE
1893;1893;1924-057;Bushey Grove;WCE
1900;1900;1929-036;New Bess Pool;WCE
1901;1901;1930-020;Summer Golden Pippin;WCE
1910;1910;1933-012;Sam Young;WCE
192;192;1948-233;Rose Double;WCE
1935;1935;1945-001;Storey's Seedling;WCE
1951;1951;1946-043;Brown's Seedling;WCE
1952;1952;1946-091;Holland Pippin;WCE
1962;1962;1947-480;Montfort;WCE
197;197;1973-051;Annurca;SE
1985;1985;1949-207;Barnhill Pippin;WCE
1988;1988;1949-221;Summer John;WCE
1989;1989;1949-222;Ballyfatten;WCE
1991;1991;1949-272;Lass o' Gowrie;WCE
1997;1997;1950-042;Stoke Allow;WCE
2;2;1958-156;Carrata;SE
200;200;1951-179;Gustavs Dauerapfel;WCE
2003;2003;1950-079;Eight Square;WCE
2010;2010;1951-224;Longstart;WCE
2013;2013;1952-055;Gilliflower of Gloucester;WCE
202;202;1947-086;Franc Roseau du Valais;WCE
2024;2024;1955-024;Pitmaston Pine Apple;WCE
2026;2026;1955-078;Cornish Honeypin;WCE
203;203;1924-009;Nanny;WCE
204;204;2006-011;Tydeman's Early Worcester;WCE
2046;2046;1960-044;Sergeant Peggy;WCE
2050;2050;1962-033;Lodgemore Nonpareil;WCE
2055;2055;1965-012;Lady Hollendale;WCE
206;206;1948-209;Pomme d'Ile;WCE
2061;2061;1974-496;Unnamed-1;U
2071;2071;1981-148;Old Rock Pippin;WCE
216;216;1973-116;Bordes;WCE
236;236;1951-017;Early Red Bird;CAN
238;238;1976-019;Sylvia;NEE
241;241;1957-084;Canvada;ANZ
2410;2410;X4355;P7 R4A4;WCE
2422;2422;X6398;TN R42A60;WCE
2443;2443;2002-056;Mason's Pippin;U
249;249;1974-065;Orleans;USA
25;25;1954-054;White Transparent;NEE
26;26;1949-202;Directeur Lesage;WCE
261;261;1979-176;Merton Worcester;WCE
262;262;1944-005;Thomas Jeffrey;WCE
2625;2625;1981-117;Orin;JPN
2651;2651;1976-107;Siugisdesert;NEE
2652;2652;1976-105;Piltsamasskoe Zimnee;NEE
2653;2653;1976-104;Noris;NEE
267;267;1972-019;Prima;USA
2670;2670;1974-323;Rosanne;ANZ
2671;2671;1974-322;Stowell Cox;ANZ
270;270;1947-158;Belle Flavoise;WCE
2720;2720;1967-068;Edgar (Canada);CAN
2722;2722;1967-066;Diana;CAN
2732;2732;1966-044;Balder;WCE
2762;2762;1961-087;Tropical Beauty;ZAF
2779;2779;1958-100;Cretesc de Breaza;SEE
2784;2784;1958-043;Giambun;SE
2785;2785;1958-037;Gabiola;SE
2794;2794;1957-205;Stonehenge;CAN
2796;2796;1957-202;Milfor;CAN
2802;2802;1957-193;Emilia;CAN
2809;2809;1957-079;Titovka;NEE
2810;2810;1957-078;Kitchovka;SEE
2813;2813;1957-073;Aivaniya;SEE
2817;2817;1956-035;Caroline Hopkins;ZAF
2820;2820;1956-006;Toyo;JPN
2823;2823;1955-015;President Boudewijn;WCE
2827;2827;1955-011;Primus;WCE
2830;2830;1955-004;Prinses Marijke;WCE
2831;2831;1955-003;Prinses Beatrix;WCE
2836;2836;1954-069;Unnamed-5;U
2847;2847;1953-010;Golden Melon;JPN
2848;2848;1953-006;Shinko;JPN
2849;2849;1953-005;Shin Indo;JPN
2850;2850;1953-004;Kyokko;JPN
2855;2855;1952-178;Gold Reinette;WCE
2856;2856;1952-130;Jersey Black;USA
286;286;1968-035;Katja;NEE
2862;2862;1952-120;Golden Russet of Western New York;USA
2865;2865;1952-113;Jefferis;USA
2872;2872;1952-031;Pero Dourado;SE
29;29;1957-190;Borowitsky;NEE
290;290;1957-213;Chelmsford Wonder;WCE
2902;2902;1951-061;Fireside;USA
2908;2908;1951-021;Henry Clay;USA
2936;2936;1950-037;Primate;USA
2971;2971;1948-724;Petit Pippin;U
2974;2974;1948-688;Mere de Baia;SEE
2975;2975;1948-671;Karolka;SEE
2979;2979;1948-644;Domnicele;SEE
2980;2980;1948-642;Meri de Saminta;SEE
2990;2990;1948-403;Szaszpap alma;WCE
2992;2992;1948-401;Szechenyi Renet;WCE
2997;2997;1948-381;Keresi Muskotaly;WCE
30;30;1999-072;Alexander;NEE
301;301;1953-051;Spätblühender Taffetapfel;WCE
3010;3010;1948-354;Banffy Pal;WCE
3013;3013;1948-344;Angyal Dezso;WCE
3026;3026;1948-038;Unnamed-6;U
3042;3042;1947-324;Josephine Kreuter;WCE
3062;3062;1947-062;Frau Margarete von Stosch;WCE
308;308;1927-013;Åkerö;NEE
3148;3148;1930-027;Baxter;CAN
3160;3160;1927-004;Bodil Neergaard;NEE
317;317;1947-051;Marie-Joseph d'Othée;WCE
3170;3170;1925-019;Thurso;CAN
3172;3172;1925-016;Joyce;CAN
3173;3173;1925-015;Ascot;CAN
3190;3190;1921-089;Grimes Golden;USA
32;32;1965-025;Ingrid Marie;NEE
321;321;1947-462;Imperiale;WCE
323;323;1948-774;Bec d'Oie;WCE
324;324;1946-088;Winter Marigold;WCE
327;327;1958-139;Abbondanza;SE
33;33;1952-108;Gros Api;WCE
330;330;1958-128;Sicilia Piccola;SE
333;333;1915-102;William Crump;SE
334;334;1943-007;Rome Beauty;USA
338;338;1950-155;Cabusse;WCE
34;34;1927-007;Signe Tillisch;NEE
345;345;1927-005;Skovfoged;NEE
353;353;1948-778;Rouget de Born;WCE
366;366;1971-048;Vista Bella;USA
37;37;1999-004;King of the Pippins;WCE
378;378;1947-297;Friandise;WCE
40;40;1941-022;Benoni;USA
405;405;1947-223;Reinette d'Anthezieux;WCE
409;409;1958-140;Campanino;SE
410;410;1958-141;Durello;SE
424;424;1947-161;Barraude;WCE
428;428;1950-178;Rose Rouge;WCE
43;43;1948-246;Colapuis;NEE
435;435;1958-030;Renetta Grigia di Torriana;SE
440;440;1947-383;Amasya;SEE
445;445;1958-164;Mela Violetta;SE
447;447;1974-052;Winesap;USA
45;45;1957-181;Gascoyne's Scarlet;WCE
457;457;1947-216;Gazerau;WCE
46;46;2000-082;Reinette Rouge Etoilee;WCE
462;462;1976-149;Wagener;USA
465;465;1951-203;Tiroler Spitzlederer;SE
468;468;1979-186;Stark Earliest;USA
472;472;1948-278;Rouget;WCE
473;473;1929-029;Broad-Eyed Pippin (of Bultitude);WCE
483;483;1955-067;Snövit;NEE
488;488;1975-317;Mother;USA
489;489;1944-004;Venus Pippin;WCE
49;49;1947-084;Freiherr von Berlepsch;WCE
491;491;1947-263;Reinette Sanguine du Rhin;WCE
5;5;1975-339;Antonovka Polotora Funtovaja;NEE
50;50;1921-094;Winter Banana;USA
508;508;2006-014;McIntosh;CAN
51;51;2000-075;Peasgood's Nonsuch;WCE
515;515;1950-150;Bancroft;CAN
52;52;1957-253;Zigeunerin;WCE
522;522;1950-033;Esopus Spitzenburg;USA
526;526;1982-200;Melrose;USA
533;533;1975-006;Pepin Shafrannyj;NEE
543;543;1955-066;Mio;NEE
546;546;1953-133;Rall's Janet;USA
548;548;1976-145;Granny Smith;ANZ
549;549;1984-001;Hocking's Green;WCE
55;55;1951-197;Rosmarina bianca;SE
56;56;1949-082;Zuccalmaglios Renette;WCE
560;560;1927-028;Opalescent;USA
562;562;1947-136;Collins;USA
564;564;1946-108;Caroline;WCE
565;565;1973-251;Kansas Queen;U
567;567;1958-041;Gambefine Fine Lunghe;SE
57;57;1979-164;Jonathan;USA
570;570;1947-165;Pomme Fer;WCE
575;575;1950-127;Atlas;CAN
577;577;1950-044;Norman's Pippin;WCE
58;58;1975-351;Calville des Prairies;WCE
582;582;2000-101;Wyken Pippin;WCE
584;584;1971-046;Kidd's Orange Red;ANZ
587;587;1974-264;York Imperial;USA
592;592;1952-194;Ivöäpple;USA
6;6;1950-123;Wealthy;USA
601;601;1953-081;Sops-in-Wine;WCE
603;603;1963-106;Mantet;CAN
61;61;1929-026;Reinette de Landsberg;WCE
629;629;1953-047;Dutch Mignonne;WCE
639;639;1947-469;Fiessers Erstling;WCE
65;65;1971-054;Golden Delicious;USA
652;652;1975-342;Bellefleur Krasny;NEE
653;653;1947-128;Grosse de Saint-Clément;WCE
66;66;1957-241;Elise Rathke;WCE
662;662;1958-029;Rus Cavallotta;SE
67;67;1948-310;Belle Fille de l'Indre;WCE
670;670;1947-059;Sauergrauschapfel;WCE
673;673;1958-028;Gian d'Andre';SE
676;676;1976-103;Bessemyanka Michurina;NEE
678;678;1974-203;Dukat;WCE
68;68;1947-325;Maglemer;NEE
681;681;1948-210;Vernade;WCE
691;691;1953-150;Giant Geniton;USA
697;697;1958-040;Grenoble;SE
71;71;1943-006;King David;USA
72;72;2000-085;Grahams Jubileum;WCE
722;722;1948-656;Danziger Kantapfel;WCE
737;737;1976-108;Zhigulevskoe;NEE
739;739;1976-144;Gala;ANZ
74;74;1921-015;Edward VII;WCE
740;740;1948-363;Daru Sovari;WCE
743;743;1974-205;Růžena Bláhová;WCE
748;748;1950-175;Reale d'Entraygues;WCE
75;75;1973-189;Discovery;WCE
750;750;1950-120;Tönnes;NEE
757;757;1947-056;La Nationale;WCE
764;764;1956-014;Schweizer Orangenapfel;WCE
77;77;1953-140;Yellow Bellflower;USA
779;779;1951-058;Schöner aus Herrnhut;WCE
786;786;1945-155;Devonshire Buckland;WCE
787;787;1963-025;Newtown Pippin;USA
8;8;1979-159;Egremont Russet;WCE
80;80;1968-039;Aroma;NEE
809;809;1944-046;Zoete Ermgaard;WCE
81;81;1947-050;Prinzen Apfel;WCE
810;810;1957-082;Verde Doncella;SE
82;82;1999-084;Red Astrachan;NEE
89;89;1947-189;Reinette de Geer;WCE
9;9;1949-182;Lombarts Calville;WCE
918;918;1921-010;Charles Eyre;WCE
929;929;1958-018;Barry;USA
93;93;1974-347;Grenadier;WCE
94;94;1927-023;Filippa;NEE
95;95;2002-037;Calville Blanc d'Hiver;WCE
950;950;1957-191;Ecklinville;WCE
953;953;1947-133;Pero Mingan;SE
97;97;1951-048;Neue Goldparmane;WCE
997;997;1948-643;Nemtesc cu Miezul Rosu;SEE
12_B006;;12_B006;;P
12_B020;;12_B020;;P
12_B023;;12_B023;;P
12_B057;;12_B057;;P
12_B061;;12_B061;;P
12_B064;;12_B064;;P
12_B074;;12_B074;;P
12_B081;;12_B081;;P
12_B093;;12_B093;;P
12_B095;;12_B095;;P
12_E003;;12_E003;;P
12_E014;;12_E014;;P
12_E015;;12_E015;;P
12_E017;;12_E017;;P
12_E024;;12_E024;;P
12_E025;;12_E025;;P
12_E034;;12_E034;;P
12_E035;;12_E035;;P
12_E039;;12_E039;;P
12_E043;;12_E043;;P
12_F002;;12_F002;;P
12_F007;;12_F007;;P
12_F014;;12_F014;;P
12_F019;;12_F019;;P
12_F023;;12_F023;;P
12_F040;;12_F040;;P
12_F045;;12_F045;;P
12_F046;;12_F046;;P
12_F052;;12_F052;;P
12_F054;;12_F054;;P
12_I002;;12_I002;;P
12_I003;;12_I003;;P
12_I005;;12_I005;;P
12_I010;;12_I010;;P
12_I037;;12_I037;;P
12_I049;;12_I049;;P
12_I056;;12_I056;;P
12_I059;;12_I059;;P
12_I062;;12_I062;;P
12_I064;;12_I064;;P
12_J001;;12_J001;;P
12_J004;;12_J004;;P
12_J011;;12_J011;;P
12_J013;;12_J013;;P
12_J015;;12_J015;;P
12_J019;;12_J019;;P
12_J027;;12_J027;;P
12_J028;;12_J028;;P
12_J029;;12_J029;;P
12_J031;;12_J031;;P
12_K001;;12_K001;;P
12_K010;;12_K010;;P
12_K016;;12_K016;;P
12_K018;;12_K018;;P
12_K023;;12_K023;;P
12_K024;;12_K024;;P
12_K044;;12_K044;;P
12_K045;;12_K045;;P
12_K049;;12_K049;;P
12_L001;;12_L001;;P
12_L005;;12_L005;;P
12_L012;;12_L012;;P
12_L013;;12_L013;;P
12_L018;;12_L018;;P
12_L021;;12_L021;;P
12_N021;;12_N021;;P
12_N034;;12_N034;;P
12_N039;;12_N039;;P
12_N041;;12_N041;;P
12_N046;;12_N046;;P
12_N052;;12_N052;;P
12_N054;;12_N054;;P
12_N057;;12_N057;;P
12_N062;;12_N062;;P
12_N063;;12_N063;;P
12_O010;;12_O010;;P
12_O011;;12_O011;;P
12_O014;;12_O014;;P
12_O017;;12_O017;;P
12_O026;;12_O026;;P
12_O056;;12_O056;;P
12_O061;;12_O061;;P
12_O063;;12_O063;;P
12_O072;;12_O072;;P
12_O074;;12_O074;;P
12_P001;;12_P001;;P
12_P002;;12_P002;;P
12_P003;;12_P003;;P
12_P018;;12_P018;;P
12_P025;;12_P025;;P
12_P027;;12_P027;;P
12_P029;;12_P029;;P
12_P034;;12_P034;;P
12_P055;;12_P055;;P
12_P056;;12_P056;;P
12_196;;12-196;B3Fx12-196;P
12_197;;12-197;B3Fx12-197;P
12_204;;12-204;B3Fx12-204;P
12_205;;12-205;B3Fx12-205;P
13_10;;13-10;B3Fx13-10;P
13_109;;13-109;B3Fx13-109;P
13_139;;13-139;B3Fx13-139;P
13_32;;13-32;B3Fx13-32;P
13_35;;13-35;B3Fx13-35;P
13_38;;13-38;B3Fx13-38;P
ACW_25358;;ACW 25358;;P
ACW_25363;;ACW 25363;;P
ACW_25365;;ACW 25365;;P
ACW_25366;;ACW 25366;;P
ACW_25368;;ACW 25368;;P
ACW_25371;;ACW 25371;;P
ACW_25372;;ACW 25372;;P
ACW_25375;;ACW 25375;;P
ACW_25454;;ACW 25454;;P
ACW_25469;;ACW 25469;;P
ACW_25580;;ACW 25580;;P
ACW_25581;;ACW 25581;;P
ACW_25584;;ACW 25584;;P
ACW_25586;;ACW 25586;;P
ACW_25591;;ACW 25591;;P
ACW_25592;;ACW 25592;;P
ACW_25607;;ACW 25607;;P
ACW_25619;;ACW 25619;;P
ACW_25622;;ACW 25622;;P
ACW_25628;;ACW 25628;;P
DLO_12_066;;DLO-12_ 066;;P
DLO_12_084;;DLO-12_ 084;;P
DLO_12_120;;DLO-12_ 120;;P
DLO_12_140;;DLO-12_ 140;;P
DLO_12_141;;DLO-12_ 141;;P
DLO_12_162;;DLO-12_ 162;;P
DLO_12_221;;DLO-12_ 221;;P
DLO_12_233;;DLO-12_ 233;;P
DLO_12_259;;DLO-12_ 259;;P
DLO_12_289;;DLO-12_ 289;;P
FuGa_015;;FuGa 015;;P
FuGa_016;;FuGa 016;;P
FuGa_140;;FuGa 140;;P
FuGa_187;;FuGa 187;;P
FuGa_215;;FuGa 215;;P
FuGa_217;;FuGa 217;;P
FuGa_243;;FuGa 243;;P
FuGa_270;;FuGa 270;;P
FuGa_275;;FuGa 275;;P
FuGa_352;;FuGa 352;;P
FuPi_005;;FuPi 005;;P
FuPi_013;;FuPi 013;;P
FuPi_023;;FuPi 023;;P
FuPi_052;;FuPi 052;;P
FuPi_054;;FuPi 054;;P
FuPi_087;;FuPi 087;;P
FuPi_097;;FuPi 097;;P
FuPi_106;;FuPi 106;;P
FuPi_107;;FuPi 107;;P
FuPi_114;;FuPi 114;;P
GaCr_002;;GaCr 002;;P
GaCr_010;;GaCr 010;;P
GaCr_017;;GaCr 017;;P
GaCr_041;;GaCr 041;;P
GaCr_043;;GaCr 043;;P
GaCr_052;;GaCr 052;;P
GaCr_055;;GaCr 055;;P
GaCr_056;;GaCr 056;;P
GaCr_057;;GaCr 057;;P
GaCr_061;;GaCr 061;;P
GaPi_007;;GaPi 007;;P
GaPi_014;;GaPi 014;;P
GaPi_017;;GaPi 017;;P
GaPi_023;;GaPi 023;;P
GaPi_028;;GaPi 028;;P
GaPi_033;;GaPi 033;;P
GaPi_035;;GaPi 035;;P
GaPi_038;;GaPi 038;;P
GaPi_051;;GaPi 051;;P
GaPi_056;;GaPi 056;;P
I_BB002;;I_BB002;;P
I_BB012;;I_BB012;;P
I_BB015;;I_BB015;;P
I_BB022;;I_BB022;;P
I_BB028;;I_BB028;;P
I_BB031;;I_BB031;;P
I_BB039;;I_BB039;;P
I_BB049;;I_BB049;;P
I_BB056;;I_BB056;;P
I_BB070;;I_BB070;;P
I_CC003;;I_CC003;;P
I_CC044;;I_CC044;;P
I_CC048;;I_CC048;;P
I_CC052;;I_CC052;;P
I_CC055;;I_CC055;;P
I_CC057;;I_CC057;;P
I_CC059;;I_CC059;;P
I_CC067;;I_CC067;;P
I_CC070;;I_CC070;;P
I_CC075;;I_CC075;;P
I_J012;;I_J012;;P
I_J030;;I_J030;;P
I_J033;;I_J033;;P
I_J036;;I_J036;;P
I_J046;;I_J046;;P
I_J054;;I_J054;;P
I_J056;;I_J056;;P
I_J063;;I_J063;;P
I_J064;;I_J064;;P
I_J069;;I_J069;;P
I_M007;;I_M007;;P
I_M013;;I_M013;;P
I_M014;;I_M014;;P
I_M024;;I_M024;;P
I_M026;;I_M026;;P
I_M029;;I_M029;;P
I_M047;;I_M047;;P
I_M048;;I_M048;;P
I_M052;;I_M052;;P
I_M056;;I_M056;;P
I_W002;;I_W002;;P
I_W010;;I_W010;;P
I_W034;;I_W034;;P
I_W036;;I_W036;;P
I_W037;;I_W037;;P
I_W044;;I_W044;;P
I_W045;;I_W045;;P
I_W046;;I_W046;;P
I_W049;;I_W049;;P
I_W050;;I_W050;;P
JoPr_1990_102_001;;JoPr 1990-102-001;;P
JoPr_1990_102_054;;JoPr 1990-102-054;;P
JoPr_1990_102_097;;JoPr 1990-102-097;;P
JoPr_1990_102_108;;JoPr 1990-102-108;;P
JoPr_1990_102_169;;JoPr 1990-102-169;;P
JoPr_1990_102_179;;JoPr 1990-102-179;;P
JoPr_1990_102_202;;JoPr 1990-102-202;;P
JoPr_1990_102_232;;JoPr 1990-102-232;;P
JoPr_1990_102_242;;JoPr 1990-102-242;;P
JoPr_1990_102_246;;JoPr 1990-102-246;;P
JoPr_1990_102_257;;JoPr 1990-102-257;;P
NOVADI_0010;;NOVADI / 0010;;P
NOVADI_0023;;NOVADI / 0023;;P
NOVADI_0042;;NOVADI / 0042;;P
NOVADI_0114;;NOVADI / 0114;;P
NOVADI_0256;;NOVADI / 0256;;P
NOVADI_0268;;NOVADI / 0268;;P
NOVADI_0286;;NOVADI / 0286;;P
NOVADI_0296;;NOVADI / 0296;;P
NOVADI_0329;;NOVADI / 0329;;P
NOVADI_0330;;NOVADI / 0330;;P
NOVADI_0347;;NOVADI / 0347;;P
NOVADI_0356;;NOVADI / 0356;;P
NOVADI_0371;;NOVADI / 0371;;P
NOVADI_0382;;NOVADI / 0382;;P
NOVADI_0622;;NOVADI / 0622;;P
NOVADI_0731;;NOVADI / 0731;;P
NOVADI_0766;;NOVADI / 0766;;P
NOVADI_0980;;NOVADI / 0980;;P
NOVADI_1015;;NOVADI / 1015;;P
TeBr_012;;TeBr_012;;P
TeBr_021;;TeBr_021;;P
TeBr_022;;TeBr_022;;P
TeBr_027;;TeBr_027;;P
TeBr_043;;TeBr_043;;P
TeBr_071;;TeBr_071;;P
TeBr_084;;TeBr_084;;P
TeBr_180;;TeBr_180;;P
TeBr_248;;TeBr_248;;P
TeBr_263;;TeBr_263;;P
